split,filename,titulo,etiquetas_rostro,etiquetas_cabello,etiquetas_otras,clases_idx,analisis,page_url,imagen_local
train,skin-fade-with-textured-sweep-over__00.jpg,Skin Fade With Textured Sweep Over,Diamond Face Shape,Fine|Normal|Short|Straight,Ben Vowles|Skin Fade,9|1|3|4|5,"So fresh and clean! A great, contemporary option amongmen’s hairstylesthat is easy to recreate at home.",https://manforhimself.com/mens-hairstyles/skin-fade-with-textured-sweep-over/,dataset_cryai/images/skin-fade-with-textured-sweep-over__00.jpg
train,damian-hurley-medium-length-90s-curtain-haircut__00.jpg,Damian Hurley Medium Length 90S Curtain Haircut,Square Face Shape,Fine|Medium|Texture,90s Throwback|Celebrity,15|1|2|6,"Damian Hurley debuted  hismedium length,90s curtain haircutonInstagram in Apriland caused a stir – because nobody expected him to cut his signature long hair off.",https://manforhimself.com/mens-hairstyles/damian-hurley-medium-length-90s-curtain-haircut/,dataset_cryai/images/damian-hurley-medium-length-90s-curtain-haircut__00.jpg
train,blow-dried-back-medium-length-tapered-hairstyle__00.jpg,Blow Dried Back Medium Length Tapered Hairstyle,Round Face Shape,Curly|Thick|Wavy,Brown|Classic,14|0|7|8,A blow-dried back medium length tapered hairstyle works really well with wavy or curly hair types.,https://manforhimself.com/mens-hairstyles/blow-dried-back-medium-length-tapered-hairstyle/,dataset_cryai/images/blow-dried-back-medium-length-tapered-hairstyle__00.jpg
train,scott-eastwood-crew-cut-with-texture__00.jpeg,Scott Eastwood Crew Cut With Texture,Round Face Shape,Short|Straight|Texture|Thick,Brown|Celebrity|Classic,14|4|5|6|7,Theclassiccrew cutis a hairstyle it’s hard to go wrong with – and it lookssovery right on Scott Eastwood.,https://manforhimself.com/mens-hairstyles/scott-eastwood-crew-cut-with-texture/,dataset_cryai/images/scott-eastwood-crew-cut-with-texture__00.jpeg
train,brad-pitt-soft-medium-length-hair-with-texture__00.jpg,Brad Pitt Soft Medium Length Hair With Texture,Square Face Shape,Fine|Medium|Straight|Texture,Blonde|Celebrity,15|1|2|5|6,"Brad Pitt’s soft,medium lengthhair withtextureis the perfect look for the actor who is about to come to the end of his fifth decade.",https://manforhimself.com/mens-hairstyles/brad-pitt-soft-medium-length-hair-with-texture/,dataset_cryai/images/brad-pitt-soft-medium-length-hair-with-texture__00.jpg
train,aaron-paul-short-cut-with-long-straight-fringe__00.jpg,Aaron Paul Short Cut With Long Straight Fringe,Oval Face Shape,Fine|Short|Straight,Blonde|Celebrity|Classic|Scissor Cut|Thinning,12|1|4|5,"The actor is best known for his seriously intense turn as a meth-head and dealer on Breaking Bad, for which he had ‘tough’ hairstyles like buzzcuts. But MFH prefers Aaron Paul’sshort cutwith longfringe.",https://manforhimself.com/mens-hairstyles/aaron-paul-short-cut-with-long-straight-fringe/,dataset_cryai/images/aaron-paul-short-cut-with-long-straight-fringe__00.jpg
train,matt-smith-medium-length-hair-with-semi-quiff-and-side-parting__00.jpg,Matt Smith Medium Length Hair With Semi Quiff And Side Parting,Square Face Shape,Medium|Thick,Brown|Celebrity|Quiff|Scissor Cut,15|2|7,"With his unconventional looks and face shape, MFH can see why Matt Smith doesn’t often change up hismedium length hairwith semiquiffandside parting.",https://manforhimself.com/mens-hairstyles/matt-smith-medium-length-hair-with-semi-quiff-and-side-parting/,dataset_cryai/images/matt-smith-medium-length-hair-with-semi-quiff-and-side-parting__00.jpg
train,robert-downey-jr-dyed-crew-cut-with-low-fade__00.jpg,Robert Downey Jr Dyed Crew Cut With Low Fade,Oval Face Shape,Short|Straight|Texture,Brown|Celebrity|Dyed|Fade,12|4|5|6,"Before Robert Downey Jr grew out his barnet into thisdyedcrew cutwith lowfade,Mr DJ allowed his kids toshave his hair off.",https://manforhimself.com/mens-hairstyles/robert-downey-jr-dyed-crew-cut-with-low-fade/,dataset_cryai/images/robert-downey-jr-dyed-crew-cut-with-low-fade__00.jpg
train,jackson-wang-dyed-medium-length-hairstyle-with-undercut__00.jpg,Jackson Wang Dyed Medium Length Hairstyle With Undercut,Oval Face Shape,Medium,Asian Hair|Celebrity|Dyed|Undercut,12|2,"Jackson Wang’sdyedmedium-lengthhairstyle withundercutis not for the faint hearted. But he wouldn’t be a K-Pop superstar if he didn’t have the requisite statement hair, right?",https://manforhimself.com/mens-hairstyles/jackson-wang-dyed-medium-length-hairstyle-with-undercut/,dataset_cryai/images/jackson-wang-dyed-medium-length-hairstyle-with-undercut__00.jpg
train,adam-peatys-hair-crew-cut-fade__00.jpg,Adam Peatys Hair Crew Cut Fade,Round Face Shape,Fine|Short|Straight,Celebrity|crop|Fade|Skin Fade,14|1|4|5,Adam Peaty’s hair was made for the winner’s podium.,https://manforhimself.com/mens-hairstyles/adam-peatys-hair-crew-cut-fade/,dataset_cryai/images/adam-peatys-hair-crew-cut-fade__00.jpg
train,aryan-simhadri-curly-hairstyle-with-fringe__00.jpg,Aryan Simhadri Curly Hairstyle With Fringe,Square Face Shape,Curly|Medium|Wavy,Celebrity|Fringe|Scissor Cut,15|0|2|8,"If you’re after a chic-yet-laidback look,Aryan Simhadri’scurly hairstyletotally delivers on the brief.",https://manforhimself.com/mens-hairstyles/aryan-simhadri-curly-hairstyle-with-fringe/,dataset_cryai/images/aryan-simhadri-curly-hairstyle-with-fringe__00.jpg
train,modern-rockabilly-pompadour__00.jpg,Modern Rockabilly Pompadour,Oval Face Shape,Texture,Pompadour|Quiff|Sam Wall,12|6,All about that volume and texture. This look by barberSam Wallis a modern-day take on the 1950s rockabilly. Big height in the front and perfectly swept back sides.,https://manforhimself.com/mens-hairstyles/modern-rockabilly-pompadour/,dataset_cryai/images/modern-rockabilly-pompadour__00.jpg
train,sebastian-stan-short-taper-hairstyle-with-cropped-fringe__00.jpg,Sebastian Stan Short Taper Hairstyle With Cropped Fringe,Oval Face Shape,Short|Thick,Brown|Celebrity|Classic|taper,12|4|7,"Although Sebastian Stan has grown out his hair in recent months for his role in The Falcon and The Winter Soldier, we rather like his shorter,taperhairstyle.",https://manforhimself.com/mens-hairstyles/sebastian-stan-short-taper-hairstyle-with-cropped-fringe/,dataset_cryai/images/sebastian-stan-short-taper-hairstyle-with-cropped-fringe__00.jpg
train,wizkid-cropped-afro-with-low-fade__00.jpg,Wizkid Cropped Afro With Low Fade,Oval Face Shape,Short|Texture|Thick,Afro|crop|Fade,12|4|6|7,"Wizkid’s croppedAfrowith lowfadeis probably one of the easiest to look after hairstyles that he’s had. (He has rocked everything from ableached Afroto a mohawk withtwists, andbraided stylesin the past.)",https://manforhimself.com/mens-hairstyles/wizkid-cropped-afro-with-low-fade/,dataset_cryai/images/wizkid-cropped-afro-with-low-fade__00.jpg
train,lucien-laviscount-close-crop-with-mid-fade__00.jpg,Lucien Laviscount Close Crop With Mid Fade,Oval Face Shape,,Afro|Black|Celebrity|Classic,12,"He’s come a long way from Coronation Street, Waterloo Road and Celebrity Big Brother (which he entered in 2011).",https://manforhimself.com/mens-hairstyles/lucien-laviscount-close-crop-with-mid-fade/,dataset_cryai/images/lucien-laviscount-close-crop-with-mid-fade__00.jpg
train,jeremy-strongs-hair-grey-crew-cut__00.jpg,Jeremy Strongs Hair Grey Crew Cut,Oval Face Shape,Short|Straight|Texture,Celebrity|Classic|Grey,12|4|5|6,Jeremy Strong’s hair is yet more proof that letting yourgreyloose is a genuinely good look.,https://manforhimself.com/mens-hairstyles/jeremy-strongs-hair-grey-crew-cut/,dataset_cryai/images/jeremy-strongs-hair-grey-crew-cut__00.jpg
train,jonathan-bailey-softly-swept-back-hairstyle__00.jpeg,Jonathan Bailey Softly Swept Back Hairstyle,Oval Face Shape,Medium|Straight,Brown|Celebrity|Slicked Back,12|2|5,Man For Himself is run by Robin James – men’s grooming and lifestyle creator.,https://manforhimself.com/mens-hairstyles/jonathan-bailey-softly-swept-back-hairstyle/,dataset_cryai/images/jonathan-bailey-softly-swept-back-hairstyle__00.jpeg
train,will-smith-buzz-cut-hairstyle__00.jpg,Will Smith Buzz Cut Hairstyle,Rectangle Face Shape,Texture|Thick,Afro|Black|Buzz Cut,13|6|7,"Personally we think this style has stood the test of time! A buzz cut is a really manageable style and is low on the styling maintenance. Although, we would recommend a trip to the barbers every couple of weeks to keep it looking sharp and short.",https://manforhimself.com/mens-hairstyles/will-smith-buzz-cut-hairstyle/,dataset_cryai/images/will-smith-buzz-cut-hairstyle__00.jpg
train,norman-reedus-hair-long-wavy__00.jpg,Norman Reedus Hair Long Wavy,Long|Oval Face Shape,Fine|Wavy,Celebrity,10|12|1|8,"As Daryl Dixon inThe Walking Dead, Norman Reedus’ hair became, well, iconic. Although it was darker, a bit shorter, and shaggier, it still had that lived-in look we associate with Norman.",https://manforhimself.com/mens-hairstyles/norman-reedus-hair-long-wavy/,dataset_cryai/images/norman-reedus-hair-long-wavy__00.jpg
train,tommy-deweys-hair-spiky-textured-cut__00.jpg,Tommy Deweys Hair Spiky Textured Cut,Triangle Face Shape,Short|Straight|Texture,Brown|Celebrity,16|4|5|6,Man For Himself is run by Robin James – men’s grooming and lifestyle creator.,https://manforhimself.com/mens-hairstyles/tommy-deweys-hair-spiky-textured-cut/,dataset_cryai/images/tommy-deweys-hair-spiky-textured-cut__00.jpg
train,parker-van-noord-long-layered-floppy-hair__00.jpg,Parker Van Noord Long Layered Floppy Hair,Rectangle Face Shape,Medium|Straight,Brown|Classic|Fringe,13|2|5,"Parker van Noord’s model good looks are only emphasised by his nonchalant, floppy hair. Worn without a parting or with a fullfringe, this 90s hairstyle works on guys without the Dutch model’s chiseled cheek bones too.",https://manforhimself.com/mens-hairstyles/parker-van-noord-long-layered-floppy-hair/,dataset_cryai/images/parker-van-noord-long-layered-floppy-hair__00.jpg
train,valtteri-bottas-bleached-blonde-80s-mullet__00.jpeg,Valtteri Bottas Bleached Blonde 80S Mullet,Square Face Shape,Fine|Medium|Straight,Blonde|Celebrity|Dyed|Mullet|Thinning|Undercut,15|1|2|5,Nothing says “I spend a lot of time in Australia” like a man – in this case F1’s Valtteri Bottas – rocking ableachedblonde80s-style mulletandmoustache.,https://manforhimself.com/mens-hairstyles/valtteri-bottas-bleached-blonde-80s-mullet/,dataset_cryai/images/valtteri-bottas-bleached-blonde-80s-mullet__00.jpeg
train,harry-kane-short-textured-haircut__00.jpg,Harry Kane Short Textured Haircut,Oval Face Shape,Fine|Short|Straight|Texture,Blonde,12|1|4|5|6,"Harry Kane’sshort,textured haircutscores highly with MFH. Why? it’s good to see the England captain with a slightly more relaxed,tousled lookfor a change.",https://manforhimself.com/mens-hairstyles/harry-kane-short-textured-haircut/,dataset_cryai/images/harry-kane-short-textured-haircut__00.jpg
train,sam-heughan-classic-short-quiff-hairstyle-with-side-part__00.jpeg,Sam Heughan Classic Short Quiff Hairstyle With Side Part,Rectangle Face Shape,Short|Straight,Celebrity|Classic|Quiff|Scissor Cut,13|4|5,"Sam Heughan’s classic shortquiff hairstylewith aside partmay seem simple, but that’s what makes this look such a winning all-rounder for any occasion.",https://manforhimself.com/mens-hairstyles/sam-heughan-classic-short-quiff-hairstyle-with-side-part/,dataset_cryai/images/sam-heughan-classic-short-quiff-hairstyle-with-side-part__00.jpeg
train,liam-hemsworth-square-shaped-scissor-haircut-quiff__00.jpg,Liam Hemsworth Square Shaped Scissor Haircut Quiff,Rectangle Face Shape,Curly|Texture,Brown|Celebrity|taper,13|0|6,"Liam Hemsworth has found his groove with this simple square cut style. Worn with a slight quiff, it accentuates his naturallywavy, thick hair.",https://manforhimself.com/mens-hairstyles/liam-hemsworth-square-shaped-scissor-haircut-quiff/,dataset_cryai/images/liam-hemsworth-square-shaped-scissor-haircut-quiff__00.jpg
train,simu-liu-classic-quiff-hairstyle__00.jpg,Simu Liu Classic Quiff Hairstyle,Round Face Shape,Thick,Asian Hair|Barbie|Black|Celebrity|Classic|Quiff,14|7,"Chinese actor Simu Liu’sclassicquiffhairstyle is an ageless style that suits everyone, especially if you’re blessed withstraight,thick hairlike Simu.",https://manforhimself.com/mens-hairstyles/simu-liu-classic-quiff-hairstyle/,dataset_cryai/images/simu-liu-classic-quiff-hairstyle__00.jpg
train,james-nortons-hair-tousled-cut__00.jpeg,James Nortons Hair Tousled Cut,Square Face Shape,Curly|Short|Texture|Thick|Wavy,Blonde|Celebrity|Dyed,15|0|4|6|7|8,"James Norton’s hair is the stuff of rom com dreams:thick,tousledwavesthat look just the right side of bedhead.",https://manforhimself.com/mens-hairstyles/james-nortons-hair-tousled-cut/,dataset_cryai/images/james-nortons-hair-tousled-cut__00.jpeg
train,darryl-mccormack-cropped-afro-with-side-part__00.jpg,Darryl Mccormack Cropped Afro With Side Part,Round Face Shape,Texture|Wavy,Afro|Black|crop|Side Part,14|6|8,"Daryl McCormack’s croppedAfrowithside partis a classic look, beloved of Hollywood stars in the 40s and 50s like Cary Grant and Marlon Brando.",https://manforhimself.com/mens-hairstyles/darryl-mccormack-cropped-afro-with-side-part/,dataset_cryai/images/darryl-mccormack-cropped-afro-with-side-part__00.jpg
train,jason-statham-shaved-head-with-receding-hairline__00.jpg,Jason Statham Shaved Head With Receding Hairline,Oval Face Shape,Short,Buzz Cut|Celebrity|Jason Statham|Receding,12|4,Jason Statham is the quite literally the poster boy for thebuzz cut. But why change something if it isn’t broken!? He looks great.,https://manforhimself.com/mens-hairstyles/jason-statham-shaved-head-with-receding-hairline/,dataset_cryai/images/jason-statham-shaved-head-with-receding-hairline__00.jpg
train,jacob-elordis-hair-modern-textured-mullet__00.jpg,Jacob Elordis Hair Modern Textured Mullet,Square Face Shape,Texture,Black|Celebrity|Dyed|Fringe|Mullet,15|6,"Jacob Elordi’s hair makes a real statement: aka thatmulletsarestilla vibe. The revival has been going strong for a while, but Jacob’s take feels effortlessly cool rather than costume-y or ironic.",https://manforhimself.com/mens-hairstyles/jacob-elordis-hair-modern-textured-mullet/,dataset_cryai/images/jacob-elordis-hair-modern-textured-mullet__00.jpg
train,sebastian-chacon-rounded-curly-hairstyle__00.jpg,Sebastian Chacon Rounded Curly Hairstyle,Oval Face Shape,Curly|Texture|Thick|Wavy,Black|Celebrity,12|0|6|7|8,Sebastian Chacon’s roundedcurly hairstyleis the ultimate style for anyone who wants to let their curls take centre stage.,https://manforhimself.com/mens-hairstyles/sebastian-chacon-rounded-curly-hairstyle/,dataset_cryai/images/sebastian-chacon-rounded-curly-hairstyle__00.jpg
train,dominic-cooper-textured-quiff-hairstyle__00.jpg,Dominic Cooper Textured Quiff Hairstyle,Oval Face Shape,Texture|Thick|Wavy,Brown|Celebrity|Quiff,12|6|7|8,"Dominic Cooper’stexturedquiffhairstyle is a more fun, youthful look for the man whose perfectly groomed, quiffed hair normally defines the word ‘smooth’.",https://manforhimself.com/mens-hairstyles/dominic-cooper-textured-quiff-hairstyle/,dataset_cryai/images/dominic-cooper-textured-quiff-hairstyle__00.jpg
train,christian-slaters-hair-crew-cut-with-quiff__00.jpg,Christian Slaters Hair Crew Cut With Quiff,Square Face Shape,Fine|Short|Straight|Texture,Celebrity|Classic|Grey|Quiff,15|1|4|5|6,Christian Slater’s hair fits him like a finely tailored suit.,https://manforhimself.com/mens-hairstyles/christian-slaters-hair-crew-cut-with-quiff/,dataset_cryai/images/christian-slaters-hair-crew-cut-with-quiff__00.jpg
train,jason-derulo-multi-coloured-afro-mullet-mowhawk__00.jpeg,Jason Derulo Multi Coloured Afro Mullet Mowhawk,Round Face Shape,Medium|Short|Texture|Thick,Afro|Black|Dyed|Mullet,14|2|4|6|7,"Jason Derulo’smulti-colouredAfromullet/mowhawk(mowlet? mullhawk?) might be Marmite, but it’s also kinda fun.",https://manforhimself.com/mens-hairstyles/jason-derulo-multi-coloured-afro-mullet-mowhawk/,dataset_cryai/images/jason-derulo-multi-coloured-afro-mullet-mowhawk__00.jpeg
train,james-mcavoy-greying-half-quiff-with-swept-back-sides__00.jpg,James Mcavoy Greying Half Quiff With Swept Back Sides,Round Face Shape,Normal|Short|Texture,Celebrity|Grey|Quiff,14|3|4|6,"James McAvoy, shows how to go silvergreycefully via thisgreyinghalf quiffwithswept backsides was the perfect classic hairstyle to set off that seriously luxe Dunhill suit.",https://manforhimself.com/mens-hairstyles/james-mcavoy-greying-half-quiff-with-swept-back-sides/,dataset_cryai/images/james-mcavoy-greying-half-quiff-with-swept-back-sides__00.jpg
train,matty-healy-curly-high-top-quiff__00.jpeg,Matty Healy Curly High Top Quiff,Oval Face Shape,Curly|Medium|Texture|Thick,Brown|Celebrity|Grey|High Top|Quiff,12|0|2|6|7,"Controversial he might be to Taylor Swift fans, but when it comes to barnets, Matty Healy’scovetable curlstick a lot of boxes: They’rethick, glossy and versatile.",https://manforhimself.com/mens-hairstyles/matty-healy-curly-high-top-quiff/,dataset_cryai/images/matty-healy-curly-high-top-quiff__00.jpeg
train,adam-driver-wavy-medium-length-90s-heartthrob-hairstyle__00.jpg,Adam Driver Wavy Medium Length 90S Heartthrob Hairstyle,Long|Rectangle Face Shape,Wavy,90s Throwback|Brown|Celebrity,10|13|8,Adam Driver’s hairstyle in House of Gucci is a90s throwbackthat looks as fresh now as it did the first time around.,https://manforhimself.com/mens-hairstyles/adam-driver-wavy-medium-length-90s-heartthrob-hairstyle/,dataset_cryai/images/adam-driver-wavy-medium-length-90s-heartthrob-hairstyle__00.jpg
train,tom-hiddleston-grown-out-thinning-hair__00.jpg,Tom Hiddleston Grown Out Thinning Hair,Long|Triangle Face Shape,Fine|Wavy,Celebrity|Thinning|Tom Hiddleston,10|16|1|8,Tom Hiddleston’s hairline may be on the move but he works the natural wave of his hair to perfection.,https://manforhimself.com/mens-hairstyles/tom-hiddleston-grown-out-thinning-hair/,dataset_cryai/images/tom-hiddleston-grown-out-thinning-hair__00.jpg
